Provider,Workload,CPU,N,Min,Q1,Median,Q3,Max,Mean,Std,CV (%)
Azure Functions,SHA-256,AMD EPYC 7763,2716,170.1,702.0,709.4,791.2,1281.0,648.6,230.5,35.5
Azure Functions,SHA-256,AMD EPYC 9V74,33800,148.1,601.9,606.9,682.6,997.7,541.9,200.2,36.9
Azure Functions,SHA-256,Intel Xeon 8370C,12642,203.3,816.2,898.5,909.2,1383.5,788.4,274.2,34.8
GCF,AES-CTR,Model 1 (AMD),6459,1998.9,4808.4,5004.6,5223.7,7104.0,5047.6,334.0,6.6
GCF,AES-CTR,Model 106 (Intel),2741,1519.3,3103.1,3208.2,3314.2,4386.9,3217.3,201.6,6.3
GCF,AES-CTR,Model 143 (Intel),13786,1399.1,3194.6,3397.0,3621.6,5499.3,3423.7,361.2,10.5
GCF,AES-CTR,Model 17 (AMD),12248,506.5,5389.2,5589.7,5800.1,7291.1,5340.3,829.6,15.5
GCF,AES-CTR,Model 85 (Intel),12013,1911.9,4325.1,4507.4,4709.4,5700.8,4534.7,303.5,6.7
GCF,Gzip,Model 1 (AMD),1713,1412.7,1529.1,1611.2,1691.2,1908.6,1615.1,90.2,5.6
GCF,Gzip,Model 106 (Intel),2120,1117.1,1295.0,1313.3,1402.5,1695.7,1338.6,94.1,7.0
GCF,Gzip,Model 143 (Intel),17615,1101.1,1286.2,1318.1,1414.5,1804.8,1352.8,124.7,9.2
GCF,Gzip,Model 17 (AMD),20923,1825.2,2015.3,2107.4,2198.4,2710.4,2116.8,116.9,5.5
GCF,Gzip,Model 85 (Intel),4842,1117.6,1302.0,1380.1,1412.5,1809.1,1363.3,100.2,7.4
GCF,JSON,Model 1 (AMD),1888,1530.0,1705.4,1782.9,1823.2,2211.5,1776.4,103.0,5.8
GCF,JSON,Model 106 (Intel),2643,1522.5,1796.4,1821.5,1916.9,2610.3,1869.1,139.3,7.5
GCF,JSON,Model 143 (Intel),13694,1219.7,1510.0,1610.9,1717.0,2303.6,1632.9,160.5,9.8
GCF,JSON,Model 17 (AMD),22646,1810.7,2019.6,2110.3,2210.5,3117.9,2147.4,146.4,6.8
GCF,JSON,Model 85 (Intel),6459,1714.4,1920.0,2011.6,2114.5,3112.6,2044.6,149.2,7.3
GCF,MatMul,Model 1 (AMD),6188,1200.0,1399.9,1519.9,1794.4,3187.8,1616.9,304.8,18.9
GCF,MatMul,Model 106 (Intel),2813,1220.3,1408.1,1512.8,1707.1,3292.2,1589.8,245.5,15.4
GCF,MatMul,Model 143 (Intel),11690,1016.4,1221.2,1389.4,1518.2,2700.9,1418.6,241.6,17.0
GCF,MatMul,Model 17 (AMD),16865,1507.3,1614.5,1700.4,1799.9,2498.8,1729.4,134.2,7.8
GCF,MatMul,Model 85 (Intel),10986,1610.7,1920.2,2126.3,2503.4,4609.3,2283.2,463.9,20.3
GCF,SHA-256,Model 1 (AMD),3868,375.1,407.1,411.0,419.1,494.8,423.0,26.0,6.2
GCF,SHA-256,Model 106 (Intel),19,627.0,698.7,700.8,702.9,779.2,698.0,30.1,4.3
GCF,SHA-256,Model 143 (Intel),20688,482.7,587.9,599.7,613.5,802.9,601.7,53.9,9.0
GCF,SHA-256,Model 17 (AMD),17980,498.8,583.9,591.7,598.1,700.2,580.1,36.2,6.2
GCF,SHA-256,Model 85 (Intel),5468,1820.3,2014.1,2189.9,2403.1,3488.8,2262.6,316.2,14.0
